장소,주차장유무,주소,평점
라무진 시흥배곧점 Ramuzin  ,  O  ,  경기도 시흥시 은행동 646-11 미림프라자 103호  ,  4.8  , 126.8039777 , 37.4367800
맛객  ,  O  ,  경기도 시흥시 정왕동 1727-2  ,  4  , 126.7332232 , 37.3475474
조개브라더스  ,  O  ,  경기도?시흥시?정왕동?2006-12  ,  4.5  , 126.6873830 , 37.3438413
서가앤쿡 시흥배곧 아브뉴프랑  ,  O  ,  경기도?시흥시?배곧동?220  ,  4.4  , 126.7260607 , 37.3691485
생금마을  ,  X  ,  경기도 시흥시 죽율동 646-3  ,  4.2  , 126.7568124 , 37.3483557
참나무누룽닭  ,  X  ,  경기도 시흥시 정왕동 1742-21  ,  4.5  , 126.7355712 , 37.3434344
갈비꽃 시흥은계점  ,  X  ,  경기도?시흥시?대야동?654-1  ,  4.6  , 126.7956483 , 37.4504952
시흥각  ,  X  ,  경기도?시흥시?하중동?451-1  ,  4.2  , 126.8032394 , 37.3950344
브런치빈 시흥대야점  ,  O  ,  경기도?시흥시?대야동?290-5  ,  4.2  , 126.7926433 , 37.4501516
복사꽃피는집 시흥점  ,  O  ,  경기도?시흥시?하중동?351-1  ,  4.2  , 126.7967223 , 37.3987893
백년상회  ,  O  ,  경기?시흥시?정왕동?1771-31 해든트윈스오피스텔 120호 , 121호  , 126.7268071 , 37.3686493
이학갈비 시흥점  ,  O  ,  경기도?시흥시?계수동?116  ,  4.1  , 126.8165467 , 37.4555758
산현농장  ,  O  ,  경기도 시흥시 산현동 1  ,  4.3  , 126.8494787 , 37.3844220
우미게장  ,  O  ,  경기도?시흥시?계수동?278-12  ,  4.3  , 126.8157153 , 37.4519404
하루엔소쿠 시흥 플랑드르점  ,  O  ,  경기도 시흥시 능곡동 235-1  ,  4.7  , 126.8069678 , 37.3712003
안동장터소고기국밥 시흥본점  ,  O  ,  경기도 시흥시 물왕동 255-1  ,  4  , 126.8294151 , 37.3869925
진짬뽕  ,  X  ,  경기도?시흥시?은행동?289-5  ,  4.1  , 126.7943900 , 37.4317443
삼겹식당 시흥농곡점  ,  O  ,  경기도?시흥시?능곡동?750  ,  5  , 126.8118770 , 37.3683725
인기명 시흥배곧점  ,  O  ,  경기도?시흥시?배곧동?191  ,  4  , 126.7273430 , 37.3707452
시흥감자탕 목감점  ,  X  ,  경기도?시흥시?조남동?169-1  ,  4.1  , 126.8596301 , 37.3832950
스시 유우히  ,  O  ,  경기도?시흥시?정왕동?2522 레드B동 2층 233호  ,  5  , 126.7265387 , 37.3696579
맛닭꼬 시흥신천점  ,  X  ,  경기도?시흥시?신천동?888-6  ,  4  , 126.7925958 , 37.4317202
회식자리  ,  X  ,  경기도 시흥시 정왕동 1183-4  ,  4  , 126.7469313 , 37.3475260
시흥국수김밥메이드인헬퍼  ,  O  ,  경기도?시흥시?대야동?554-1  ,  4.9  , 126.7923471 , 37.4403212
셀프국밥(인하찹쌀순대 시흥직영점)  ,  O  ,  경기도?시흥시?하중동?459-1  ,  4  , 126.8027331 , 37.3972081
호아빈 시화점  ,  O  ,  경기도 시흥시 정왕동 1738-5  ,  4  , 126.7373036 , 37.3443809
낙원갈비집 시흥스타필드점  ,  O  ,  경기도 시흥시 계수동 171-11  ,  4.1  , 126.8178832 , 37.4532354
힘찬한우  ,  O  ,  경기도 시흥시 정왕동 1780-3  ,  4  , 126.7487355 , 37.3359789
팔각도 시흥배곧점  ,  O  ,  경기도?시흥시?배곧동?200-2  ,  4.3  , 126.7297309 , 37.3687487
무공돈까스 시흥장곡점  ,  O  ,  경기도 시흥시 장곡동 196  ,  4.8  , 126.7897813 , 37.3791128
정정아식당  ,  O  ,  경기도?시흥시?정왕동?1730-4  ,  4.2  , 126.7316359 , 37.3459093
광릉불고기  ,  O  ,  경기도?시흥시?월곶동?487-4  ,  4.2  , 126.7616590 , 37.3824505
홍익돈까스 시흥대야점  ,  O  ,  경기도?시흥시?대야동?376-50  ,  4  , 126.7856678 , 37.4475974
오봉집 시흥능곡점  ,  X  ,  경기도?시흥시?능곡동?211-1  ,  4  , 126.8065887 , 37.3695350
장금이(연밥정식)  ,  O  ,  경기도?시흥시?산현동?411  ,  4.1  , 126.8294708 , 37.3682671
백년식당  ,  O  ,  경기도?시흥시?배곧동?230  ,  4.8  , 126.7277237 , 37.3666067
업텐브로 피자- 시흥점  ,  X  ,  경기도 시흥시 정왕동 1809-2  ,  4.6  , 126.7435098 , 37.3497286
버거리 시흥센트럴푸르지오점  ,  O  ,  경기도?시흥시?대야동?693  ,  4  , 126.7897895 , 37.4404619
청춘조개  ,  O  ,  경기도?시흥시?정왕동?2030-11  ,  4.6  , 126.6870931 , 37.3430568
고집132 시흥능곡역점  ,  O  ,  경기 시흥시 능곡동 211-1  ,  4  , 126.8065887 , 37.3695350
민들레홍스 시흥배곧점  ,  O  ,  경기 시흥시 서울대학로278번길 67 롯데마트 배곧점 2층 E/V 앞  ,  4.9  , 126.7313242 , 37.3688934
최고당돈가스 시흥장현점  ,  O  ,  경기도?시흥시?장곡동?196  ,  4  , 126.7897813 , 37.3791128
시흥 서퍼스파라다이스  ,  O  ,  경기도?시흥시?정왕동?2690 3층 305~208호  ,  4.5  , 126.6838514 , 37.3266736
배곧어촌마을  ,  X  ,  경기도?시흥시?배곧동?133  ,  4  , 126.7249076 , 37.3780884
장사랑 시흥프리미엄아울렛점  ,  X  ,  경기도?시흥시?정왕동 2398  ,  4  , 126.7362238 , 37.3795014
등촌칼국수 시흥 능곡점  ,  O  ,  경기도?시흥시?배곧동?125  ,  4  , 126.7271718 , 37.3767472
경아식당 배곧점  ,  O  ,  경기도?시흥시?배곧동?193-1  ,  5  , 126.7286498 , 37.3701596
탐라담  ,  O  ,  경기도?시흥시?정왕동?2515-1  ,  4.3  , 126.7283414 , 37.3698307
진솥  ,  O  ,  경기도?시흥시?은행동?608-7  ,  4  , 126.8043189 , 37.4451216
참소예  ,  O  ,  경기도?시흥시?물왕동?331-4  ,  4.1  , 126.8283013 , 37.3839803
보리네생고깃간시흥목감점  ,  O  ,  경기도?시흥시?조남동?684-2 2층  ,  4.4  , 126.8582556 , 37.3707867
두부공작소 시흥은계점  ,  O  ,  경기도?시흥시?은행동?601-302  ,  5  , 126.8017804 , 37.4459906
이루다자가제면소  ,  O  ,  경기 시흥시 동서로 768 1층 이루다제면소 본점  ,  4.2  , 126.8312934 , 37.3847519
무모한초밥 시흥능곡역점  ,  X  ,  경기 시흥시 장현능곡로 188 110호  ,  5  , 126.8109960 , 37.3693131
스시노칸도 시흥플랑드르점  ,  O  ,  경기도?시흥시?능곡동?871  ,  4.2  , 126.8073426 , 37.3710268
화목칼국수 인천대공원점  ,  O  ,  경기도?시흥시?신천동?599-2  ,  4.9  , 126.7692900 , 37.4426626
흙과사람들  ,  O  ,  경기도?시흥시?대야동?562-5  ,  4  , 126.7922620 , 37.4439716
무한게장  ,  O  ,  경기도?시흥시?대야동?16  ,  4.3  , 126.7834471 , 37.4592219
814바베큐  ,  O  ,  경기도?시흥시?정왕동?1729-1  ,  4.8  , 126.7343335 , 37.3469074
오부장치킨 시흥 은행동점  ,  X  ,  경기도 시흥시 은행동 539-10  ,  4.4  , 126.8000877 , 37.4429696
시흥감자탕뼈해장국 장현점  ,  O  ,  경기도?시흥시?장현동?544-5  ,  4.1  , 126.8011420 , 37.3808405
배도한식당  ,  X  ,  경기 시흥시 배곧1로 27-16  ,  5  , 126.7151139 , 37.3627494
코코이찌방야 시흥거북섬점  ,  O  ,  경기 시흥시 거북섬둘레길 34 2층 202호  ,  4.6  , 126.6789428 , 37.3246434
서운칼국수전문점  ,  O  ,  경기도?시흥시?군자동?115  ,  4  , 126.8073715 , 37.3625056
줘마양다리구이 시흥1호점  ,  O  ,  경기도 시흥시 정왕동 1194-15  ,  4.3  , 126.7516561 , 37.3451265
본가만두전골  ,  O  ,  경기도?시흥시?물왕동?147-2  ,  4.3  , 126.8391736 , 37.3873633
돈통마늘보쌈(시흥정왕점)  ,  O  ,  경기도?시흥시?정왕동?1736-6  ,  4.2  , 126.7360154 , 37.3454962
강릉짬뽕순두부 본점  ,  X  ,  경기도?시흥시?정왕동?2042-18  ,  4.3  , 126.6890084 , 37.3408137
